Date,Open,High,Low,Close,Adj Close,Volume
2014-03-03,6264.350098,6277.75,6212.25,6221.450195,6221.450195,144600.0
2014-03-04,6216.75,6302.149902,6215.700195,6297.950195,6297.950195,166800.0
2014-03-07,6413.950195,6537.799805,6413.549805,6526.649902,6526.649902,284900.0
2014-03-10,6491.700195,6562.200195,6487.350098,6537.25,6537.25,242100.0
2014-03-11,6537.350098,6562.850098,6494.25,6511.899902,6511.899902,239000.0
2014-03-12,6497.5,6546.149902,6487.299805,6516.899902,6516.899902,175000.0
2014-03-13,6491.75,6561.450195,6476.649902,6493.100098,6493.100098,167900.0
2014-03-14,6447.25,6518.450195,6432.700195,6504.200195,6504.200195,177300.0
2014-03-18,6532.450195,6574.950195,6497.649902,6516.649902,6516.649902,179300.0
2014-03-19,6530.0,6541.200195,6506.0,6524.049805,6524.049805,172500.0
2014-03-20,6508.350098,6523.649902,6473.25,6483.100098,6483.100098,142000.0
2014-03-21,6515.200195,6522.899902,6485.700195,6493.200195,6493.200195,189900.0
2014-03-22,null,null,null,null,null,null
2014-03-24,6510.5,6591.5,6510.5,6583.5,6583.5,158400.0
2014-03-25,6550.100098,6595.549805,6544.850098,6589.75,6589.75,168100.0
2014-03-26,6615.649902,6627.450195,6580.600098,6601.399902,6601.399902,186600.0
2014-03-27,6613.100098,6673.950195,6599.5,6641.75,6641.75,312400.0
2014-03-28,6673.049805,6702.600098,6643.799805,6695.899902,6695.899902,184800.0
2014-03-31,6723.149902,6730.049805,6662.399902,6704.200195,6704.200195,220600.0
2014-04-01,6729.5,6732.25,6675.450195,6721.049805,6721.049805,177800.0
2014-04-02,6757.600098,6763.5,6723.600098,6752.549805,6752.549805,173300.0
2014-04-03,6772.049805,6776.75,6696.899902,6736.100098,6736.100098,197500.0
2014-04-04,6741.850098,6741.850098,6685.149902,6694.350098,6694.350098,155100.0
2014-04-07,6694.25,6725.149902,6650.399902,6695.049805,6695.049805,133900.0
2014-04-09,6722.0,6808.700195,6705.100098,6796.200195,6796.200195,169800.0
2014-04-10,6803.049805,6819.049805,6777.299805,6796.399902,6796.399902,191100.0
2014-04-11,6758.350098,6789.350098,6743.149902,6776.299805,6776.299805,140700.0
2014-04-15,6792.700195,6813.399902,6711.75,6733.100098,6733.100098,123200.0
2014-04-16,6727.25,6748.649902,6665.149902,6675.299805,6675.299805,119800.0
2014-04-17,6695.450195,6783.049805,6684.399902,6779.399902,6779.399902,131500.0
2014-04-21,6789.25,6825.450195,6786.899902,6817.649902,6817.649902,111800.0
2014-04-22,6822.899902,6838.0,6806.25,6815.350098,6815.350098,114700.0
2014-04-23,6823.25,6861.600098,6820.75,6840.799805,6840.799805,183000.0
2014-04-24,null,null,null,null,null,null
2014-04-25,6855.799805,6869.850098,6772.850098,6782.75,6782.75,154300.0
2014-04-28,6778.549805,6786.25,6750.299805,6761.25,6761.25,118200.0
2014-04-29,6769.0,6779.700195,6708.649902,6715.25,6715.25,115500.0
2014-04-30,6724.950195,6780.149902,6656.799805,6696.399902,6696.399902,161100.0
2014-05-02,6709.950195,6737.649902,6689.5,6694.799805,6694.799805,114300.0
2014-05-05,6681.649902,6741.049805,6680.450195,6699.350098,6699.350098,105000.0
2014-05-06,6719.25,6743.450195,6701.899902,6715.299805,6715.299805,88300.0
2014-05-07,6708.600098,6718.75,6642.899902,6652.549805,6652.549805,114100.0
2014-05-08,6669.899902,6688.399902,6638.549805,6659.850098,6659.850098,101600.0
2014-05-09,6654.149902,6871.350098,6652.149902,6858.799805,6858.799805,166400.0
2014-05-12,6863.399902,7020.049805,6862.899902,7014.25,7014.25,157700.0
2014-05-13,7080.0,7172.350098,7067.149902,7108.75,7108.75,232200.0
2014-05-14,7112.0,7142.25,7080.899902,7108.75,7108.75,177200.0
2014-05-15,7111.299805,7152.549805,7082.549805,7123.149902,7123.149902,186800.0
2014-05-16,7270.200195,7563.5,7130.649902,7203.0,7203.0,393200.0
2014-05-19,7276.850098,7291.100098,7193.549805,7263.549805,7263.549805,316200.0
